model,year_1,price,transmission,mileage,fuelType,tax(£),mpg,engineSize,is_fake
 Kona,2019,15498,Manual,5630,Petrol,145,44.1,1.0,0
 I20,2017,8498,Manual,19685,Petrol,145,58.9,1.2,0
 Tucson,2017,13698,Manual,17539,Diesel,30,61.7,1.7,0
 I10,2017,6998,Manual,39968,Petrol,145,57.7,1.2,0
 Tucson,2017,13998,Manual,21679,Diesel,30,61.7,1.7,0
 Tucson,2017,14498,Manual,9146,Diesel,150,61.7,1.7,0
 I800,2019,19998,Automatic,1477,Diesel,145,31.7,2.5,0
 Kona,2018,12498,Manual,12834,Petrol,145,52.3,1.0,0
 I40,2017,8998,Manual,59626,Diesel,150,67.3,1.7,0
 IX20,2016,8298,Manual,28355,Petrol,125,50.4,1.4,0
 Kona,2018,15995,Manual,23400,Petrol,145,52.3,1.0,0
 IX35,2015,9495,Manual,46000,Diesel,145,53.3,1.7,0
 I30,2018,8998,Manual,24070,Petrol,145,57.7,1.0,0
 I30,2019,14998,Manual,3010,Petrol,145,41.5,1.4,0
 I30,2019,14998,Manual,3303,Petrol,145,41.5,1.4,0
 Kona,2019,21998,Automatic,1391,Hybrid,135,52.3,1.6,0
 I20,2017,8998,Manual,16900,Petrol,145,55.4,1.2,0
 I40,2016,10998,Manual,29347,Diesel,30,65.7,1.7,0
 I20,2016,9498,Manual,17206,Petrol,30,58.9,1.0,0
 I10,2015,5998,Manual,8116,Petrol,20,60.1,1.0,0
 IX20,2015,7998,Manual,20077,Petrol,125,50.4,1.4,0
 I20,2017,7998,Manual,28502,Petrol,145,55.4,1.2,0
 I20,2015,7398,Manual,23656,Petrol,30,55.4,1.2,0
 I20,2015,6698,Manual,43795,Petrol,125,51.4,1.4,0
 I20,2017,8598,Manual,9392,Petrol,30,58.9,1.2,0
 I30,2019,23498,Manual,1437,Petrol,145,34.0,2.0,0
 Kona,2019,14998,Manual,2383,Petrol,145,44.1,1.0,0
 Santa Fe,2019,34998,Semi-Auto,4133,Diesel,145,39.2,2.2,0
 Santa Fe,2019,34998,Semi-Auto,4956,Diesel,145,39.2,2.2,0
 Tucson,2019,15998,Manual,3454,Petrol,145,35.3,1.6,0
 I30,2019,14998,Manual,3001,Petrol,145,41.5,1.4,0
 Tucson,2019,15498,Manual,14877,Petrol,150,34.9,1.6,0
 Tucson,2019,18998,Semi-Auto,3649,Petrol,150,36.2,1.6,0
 Tucson,2017,14498,Manual,12811,Diesel,150,61.7,1.7,0
 Tucson,2017,15298,Semi-Auto,19066,Diesel,150,57.6,1.7,0
 Tucson,2017,15998,Semi-Auto,11231,Diesel,150,57.6,1.7,0
 I10,2017,6498,Manual,23692,Petrol,20,60.1,1.0,0
 Santa Fe,2017,15998,Manual,48034,Diesel,205,47.1,2.2,0
 Tucson,2016,12498,Manual,41953,Diesel,30,61.7,1.7,0
 IX20,2014,5998,Manual,42386,Diesel,30,64.2,1.6,0
 Tucson,2018,16500,Manual,12875,Petrol,145,38.7,1.6,0
 Santa Fe,2015,16998,Semi-Auto,38514,Diesel,265,42.2,2.2,0
 Tucson,2016,10998,Manual,20258,Petrol,160,44.8,1.6,0
 Tucson,2017,15998,Semi-Auto,12150,Diesel,145,57.6,1.7,0
 Tucson,2016,18698,Automatic,14884,Diesel,235,43.5,2.0,0
 Tucson,2017,11498,Manual,35213,Diesel,145,61.7,1.7,0
 Tucson,2018,14998,Manual,7482,Petrol,145,44.8,1.6,0
 Tucson,2019,15498,Manual,12077,Petrol,145,34.9,1.6,0
 Tucson,2017,13498,Manual,5863,Petrol,160,44.8,1.6,0
 I20,2018,9985,Automatic,20796,Petrol,145,45.6,1.4,0
 I10,2017,7498,Manual,8788,Petrol,145,60.1,1.0,0
 Tucson,2019,15998,Manual,17841,Petrol,150,34.9,1.6,0
 I30,2015,8798,Manual,21701,Petrol,150,48.7,1.4,0
 Tucson,2019,15498,Manual,15751,Petrol,150,34.9,1.6,0
 I20,2016,8298,Manual,17499,Petrol,30,55.4,1.2,0
 Kona,2019,14998,Manual,6717,Petrol,150,44.1,1.0,0
 Ioniq,2019,20998,Automatic,5530,Hybrid,140,62.8,1.6,0
 Kona,2019,20998,Automatic,4672,Hybrid,140,52.3,1.6,0
 I30,2017,10485,Manual,17609,Diesel,145,72.4,1.6,0
 Santa Fe,2018,21985,Manual,13436,Diesel,145,47.1,2.2,0
 I10,2020,14485,Manual,100,Petrol,145,51.4,1.2,0
 I20,2020,14485,Manual,100,Petrol,145,46.3,1.2,0
 Tucson,2016,11485,Manual,53963,Diesel,30,61.7,1.7,0
 I20,2016,7489,Manual,51552,Petrol,30,56.5,1.2,0
 Santa Fe,2017,19429,Semi-Auto,38452,Diesel,150,42.8,2.2,0
 I10,2017,6995,Manual,20200,Petrol,145,60.1,1.0,0
 I10,2019,9985,Manual,5223,Petrol,150,57.6,1.2,0
 Ioniq,2019,22998,Automatic,2844,Hybrid,140,1.1,1.6,0
 Tucson,2016,13298,Manual,35251,Diesel,30,61.7,1.7,0
 I800,2019,19998,Manual,7761,Diesel,145,31.7,2.5,0
 I40,2015,9298,Manual,34572,Diesel,30,65.7,1.7,0
 Tucson,2017,14985,Manual,42858,Diesel,205,47.9,2.0,0
 Tucson,2018,13985,Manual,15563,Diesel,150,61.7,1.7,0
 I40,2017,11485,Manual,17393,Diesel,145,65.7,1.7,0
 I30,2017,10785,Manual,19273,Diesel,145,74.3,1.6,0
 I30,2017,10485,Manual,15359,Diesel,145,72.4,1.6,0
 I20,2019,9485,Manual,10758,Petrol,145,46.3,1.2,0
 I20,2019,10485,Manual,13484,Petrol,145,46.3,1.2,0
 I30,2017,8985,Manual,18266,Diesel,145,72.4,1.6,0
 Tucson,2016,14798,Semi-Auto,23865,Diesel,125,57.6,1.7,0
 Tucson,2017,13698,Manual,31739,Diesel,145,61.7,1.7,0
 Tucson,2017,14498,Semi-Auto,17754,Diesel,125,57.6,1.7,0
 I10,2014,5498,Manual,23928,Petrol,20,60.1,1.0,0
 Tucson,2016,11498,Manual,40297,Diesel,30,61.7,1.7,0
 IX35,2015,8250,Manual,59238,Diesel,145,54.3,1.7,0
 I10,2017,7495,Manual,25203,Petrol,30,57.7,1.2,0
 I800,2017,15985,Automatic,35154,Diesel,325,33.6,2.5,0
 IX35,2015,7885,Manual,59817,Diesel,145,54.3,1.7,0
 IX35,2015,7995,Manual,54783,Diesel,150,53.3,1.7,0
 I20,2019,10485,Manual,11166,Petrol,145,46.3,1.2,0
 Tucson,2016,10998,Manual,40191,Diesel,30,61.7,1.7,0
 I20,2017,8498,Manual,12588,Petrol,145,55.4,1.2,0
 Santa Fe,2015,13998,Manual,54963,Diesel,200,46.3,2.2,0
 Tucson,2016,11998,Manual,35224,Diesel,30,61.7,1.7,0
 I20,2017,8995,Manual,19229,Petrol,145,62.8,1.0,0
 Santa Fe,2013,12245,Semi-Auto,72854,Diesel,260,41.5,2.2,0
 Santa Fe,2016,18295,Semi-Auto,22404,Diesel,235,42.2,2.2,0
 Kona,2018,12998,Manual,7910,Petrol,145,52.3,1.0,0
 IX35,2014,7298,Manual,71289,Diesel,145,53.3,1.7,0
 I20,2013,3998,Manual,45461,Petrol,30,57.6,1.2,0
 Tucson,2016,11998,Manual,40457,Diesel,30,61.7,1.7,0
 Tucson,2019,15498,Manual,23773,Petrol,145,34.9,1.6,0
 Kona,2019,14298,Manual,5034,Petrol,145,44.1,1.0,0
 Tucson,2016,15798,Manual,35030,Diesel,145,54.3,2.0,0
 Tucson,2017,14498,Manual,19400,Diesel,30,61.7,1.7,0
 I20,2016,8998,Automatic,28560,Petrol,160,42.2,1.4,0
 Tucson,2016,12298,Manual,35153,Diesel,30,61.7,1.7,0
 I20,2017,8298,Manual,18047,Petrol,30,55.4,1.2,0
 Tucson,2017,13498,Manual,35003,Diesel,30,61.7,1.7,0
 Tucson,2019,15498,Manual,11757,Petrol,145,34.9,1.6,0
 I40,2016,9698,Manual,38259,Diesel,30,65.7,1.7,0
 Tucson,2017,12998,Manual,40262,Diesel,145,61.7,1.7,0
 Ioniq,2018,17298,Automatic,19348,Hybrid,135,78.5,1.6,0
 Tucson,2017,12398,Manual,12239,Diesel,30,61.7,1.7,0
 Tucson,2016,13998,Semi-Auto,30551,Diesel,125,57.6,1.7,0
 I30,2015,6498,Manual,40237,Diesel,0,78.4,1.6,0
 Tucson,2019,15498,Manual,11915,Petrol,150,34.9,1.6,0
 I10,2017,6498,Manual,37254,Petrol,20,60.1,1.0,0
 Tucson,2016,14698,Manual,13254,Diesel,145,54.3,2.0,0
 IX20,2016,7998,Manual,20760,Petrol,125,50.4,1.4,0
 Tucson,2017,15698,Semi-Auto,7015,Diesel,145,57.6,1.7,0
 Tucson,2018,12698,Manual,14183,Petrol,145,44.8,1.6,0
 Tucson,2015,10298,Manual,69085,Diesel,30,61.7,1.7,0
 I40,2014,7498,Manual,51515,Diesel,30,62.8,1.7,0
 Tucson,2016,12498,Manual,15959,Diesel,30,61.7,1.7,0
 Kona,2019,14298,Manual,10757,Petrol,145,44.1,1.0,0
 Kona,2019,14298,Manual,9829,Petrol,145,44.1,1.0,0
 I800,2018,15998,Manual,37324,Diesel,145,28.0,2.5,0
 I30,2018,11298,Manual,14655,Petrol,145,56.5,1.0,0
 I30,2018,8998,Manual,20596,Petrol,145,57.7,1.0,0
 I30,2018,11998,Manual,12486,Diesel,145,74.3,1.6,0
 I20,2014,4998,Manual,43444,Petrol,30,57.6,1.2,0
 Tucson,2017,14498,Manual,37587,Diesel,145,54.3,2.0,0
 Tucson,2017,13998,Manual,23643,Diesel,145,61.7,1.7,0
 Tucson,2017,14998,Semi-Auto,13094,Diesel,125,57.6,1.7,0
 Tucson,2018,15500,Manual,4411,Petrol,145,34.9,1.6,0
 Kona,2019,15498,Manual,10,Petrol,145,44.1,1.0,0
 IX35,2013,6998,Manual,80465,Diesel,145,53.3,1.7,0
 Tucson,2019,15498,Manual,17948,Petrol,145,34.9,1.6,0
 Kona,2019,15498,Manual,10,Petrol,145,44.1,1.0,0
 I30,2019,14998,Manual,3292,Petrol,145,41.5,1.4,0
 Tucson,2016,11698,Manual,29051,Diesel,30,61.7,1.7,0
 I30,2013,5998,Manual,59039,Diesel,0,74.3,1.6,0
 I10,2016,5998,Manual,20851,Petrol,20,60.1,1.0,0
 I20,2015,7298,Manual,35921,Petrol,30,55.4,1.2,0
 I30,2017,9698,Manual,43717,Diesel,20,72.4,1.6,0
 I30,2018,10998,Manual,14927,Petrol,145,56.5,1.0,0
 I40,2016,9698,Manual,40134,Diesel,30,65.7,1.7,0
 Kona,2019,15498,Manual,10,Petrol,145,44.1,1.0,0
 Kona,2018,13498,Manual,12884,Petrol,145,44.1,1.0,0
 Kona,2018,13698,Manual,9616,Petrol,145,44.1,1.0,0
 I10,2017,6698,Manual,19419,Petrol,145,60.1,1.0,0
 Kona,2019,15298,Manual,879,Petrol,145,44.1,1.0,0
 IX20,2017,9998,Manual,9604,Petrol,145,50.4,1.4,0
 I10,2014,5500,Manual,17904,Petrol,20,60.1,1.0,0
 Tucson,2016,11400,Manual,24400,Petrol,160,44.8,1.6,0
 IX20,2017,8998,Manual,22861,Petrol,145,50.4,1.4,0
 Santa Fe,2015,14498,Manual,25770,Diesel,200,46.3,2.2,0
 I20,2017,7798,Manual,14814,Petrol,150,55.4,1.2,0
 Kona,2019,13998,Manual,4396,Petrol,145,44.1,1.0,0
 I10,2017,6498,Manual,26222,Petrol,145,60.1,1.0,0
 Tucson,2015,11998,Manual,27256,Diesel,30,61.7,1.7,0
 I30,2016,8498,Manual,20251,Petrol,125,50.4,1.4,0
 IX20,2016,7998,Manual,18562,Petrol,125,50.4,1.4,0
 Tucson,2017,13998,Manual,19372,Diesel,150,61.7,1.7,0
 I10,2017,6498,Manual,23455,Petrol,20,60.1,1.0,0
 Tucson,2019,23998,Manual,6491,Hybrid,145,47.9,1.6,0
 Kona,2018,12998,Manual,11458,Petrol,145,52.3,1.0,0
 I20,2017,7998,Manual,35934,Petrol,145,58.9,1.2,0
 I800,2018,15498,Automatic,34889,Diesel,145,28.0,2.5,0
 I800,2018,15498,Manual,37485,Diesel,145,28.0,2.5,0
 I30,2016,8998,Manual,32025,Diesel,0,78.4,1.6,0
 Tucson,2018,14498,Manual,23513,Petrol,145,34.9,1.6,0
 Tucson,2017,12998,Manual,33461,Diesel,30,61.7,1.7,0
 I30,2018,9498,Manual,11462,Petrol,145,57.7,1.0,0
 I30,2018,9298,Manual,16259,Petrol,145,57.7,1.0,0
 I30,2019,14998,Manual,3241,Petrol,145,41.5,1.4,0
 I800,2019,20998,Manual,2573,Diesel,145,31.7,2.5,0
 I800,2019,17998,Manual,17972,Diesel,145,28.0,2.5,0
 Tucson,2018,15298,Manual,14429,Petrol,145,34.9,1.6,0
 I10,2017,6498,Manual,37864,Petrol,145,60.1,1.0,0
 I20,2019,12498,Manual,1023,Petrol,145,46.3,1.2,0
 I10,2017,6498,Manual,21070,Petrol,145,60.1,1.0,0
 Kona,2018,12498,Manual,23001,Petrol,145,52.3,1.0,0
 Kona,2018,12998,Manual,9133,Petrol,145,52.3,1.0,0
 Ioniq,2019,15998,Automatic,16280,Hybrid,135,78.5,1.6,0
 Ioniq,2019,16498,Automatic,4004,Hybrid,135,78.5,1.6,0
 Kona,2018,13998,Manual,11893,Petrol,145,44.1,1.0,0
 I800,2019,21498,Manual,2804,Diesel,145,28.0,2.5,0
 Kona,2018,13698,Manual,14441,Petrol,145,44.1,1.0,0
 I20,2016,8298,Manual,13643,Petrol,20,62.8,1.0,0
 I20,2017,9490,Manual,1862,Petrol,150,55.4,1.2,0
 Tucson,2016,11495,Manual,19312,Diesel,30,61.7,1.7,0
 I30,2019,12998,Manual,14121,Diesel,145,58.9,1.6,0
 I30,2018,11298,Manual,11150,Petrol,145,56.5,1.0,0
 I30,2018,11998,Manual,8337,Diesel,145,74.3,1.6,0
 Tucson,2016,14995,Manual,25044,Diesel,125,58.9,2.0,0
 Santa Fe,2016,16498,Manual,44905,Diesel,200,47.1,2.2,0
 Tucson,2018,17998,Manual,7874,Diesel,145,48.7,1.6,0
 I10,2018,6998,Manual,24152,Petrol,145,60.1,1.0,0
 Santa Fe,2013,11498,Semi-Auto,59701,Diesel,265,41.5,2.2,0
 I20,2015,7798,Manual,23001,Petrol,30,55.4,1.2,0
 Tucson,2019,15998,Manual,11751,Petrol,145,34.9,1.6,0
 IX20,2016,8298,Manual,16407,Petrol,125,50.4,1.4,0
 Tucson,2016,11998,Manual,36512,Diesel,30,61.7,1.7,0
 I10,2017,6998,Manual,21962,Petrol,145,60.1,1.0,0
 Tucson,2016,13298,Manual,23257,Diesel,30,61.7,1.7,0
 I30,2019,14998,Manual,3398,Petrol,145,41.5,1.4,0
 Kona,2018,13498,Manual,6922,Petrol,145,44.1,1.0,0
 I30,2015,7998,Manual,25399,Petrol,145,47.1,1.4,0
 I20,2016,7398,Manual,19230,Petrol,30,55.4,1.2,0
 Kona,2019,13998,Manual,8777,Petrol,145,44.1,1.0,0
 Tucson,2018,14498,Manual,37305,Petrol,145,34.9,1.6,0
 Kona,2018,14298,Manual,8795,Petrol,145,44.1,1.0,0
 Ioniq,2018,17298,Automatic,13884,Hybrid,135,78.5,1.6,0
 Ioniq,2018,17298,Automatic,6443,Hybrid,135,78.5,1.6,0
 I10,2017,7998,Manual,25878,Petrol,145,57.7,1.2,0
 Tucson,2017,15498,Manual,26826,Diesel,30,61.4,1.7,0
 Tucson,2019,15498,Manual,17325,Petrol,145,34.9,1.6,0
 I30,2015,6698,Manual,64365,Diesel,0,78.4,1.6,0
 Tucson,2019,15498,Manual,17865,Petrol,145,34.9,1.6,0
 I800,2018,15998,Manual,38520,Diesel,145,28.0,2.5,0
 Tucson,2016,11498,Manual,63104,Diesel,30,61.7,1.7,0
 Tucson,2016,12498,Manual,31054,Diesel,30,61.7,1.7,0
 Santa Fe,2013,12498,Automatic,38602,Diesel,260,41.5,2.2,0
 I30,2016,7998,Manual,50167,Diesel,0,78.4,1.6,0
 I800,2018,15498,Manual,36164,Diesel,145,28.0,2.5,0
 I800,2018,15498,Manual,36759,Diesel,145,28.0,2.5,0
 I20,2017,7998,Manual,21451,Petrol,145,55.4,1.2,0
 I30,2018,10998,Manual,14147,Petrol,145,56.5,1.0,0
 I30,2018,11498,Manual,11901,Petrol,145,56.5,1.0,0
 I30,2018,12498,Manual,4758,Diesel,145,74.3,1.6,0
 Tucson,2018,16498,Manual,18,Petrol,145,34.9,1.6,0
 I30,2018,9498,Manual,11852,Petrol,145,57.7,1.0,0
 I30,2015,6844,Manual,45640,Petrol,145,47.1,1.4,0
 Santa Fe,2014,11830,Manual,50425,Diesel,200,46.3,2.2,0
 Tucson,2019,15998,Manual,9488,Petrol,145,34.9,1.6,0
 Kona,2018,13698,Manual,11118,Petrol,145,44.1,1.0,0
 Kona,2018,13698,Manual,11139,Petrol,145,44.1,1.0,0
 Tucson,2016,11798,Manual,48233,Diesel,30,61.7,1.7,0
 I30,2018,11298,Manual,17402,Petrol,145,56.5,1.0,0
 I30,2016,9498,Manual,24109,Petrol,145,48.7,1.4,0
 I30,2018,9998,Manual,12130,Petrol,145,57.7,1.0,0
 I30,2018,11498,Manual,11122,Diesel,145,74.3,1.6,0
 I30,2018,11498,Manual,14875,Petrol,145,56.5,1.0,0
 Tucson,2019,15498,Manual,14461,Petrol,150,34.9,1.6,0
 I10,2017,7998,Manual,5733,Petrol,20,60.1,1.0,0
 Tucson,2017,14298,Manual,45726,Diesel,150,61.7,1.7,0
 I30,2016,7998,Manual,41429,Diesel,0,78.4,1.6,0
 Tucson,2017,13998,Manual,15908,Diesel,145,61.7,1.7,0
 I30,2013,5995,Manual,42786,Petrol,145,47.1,1.4,0
